Season,Round,player_id,Player,squad_id,Team,Position,af_cost,af_be,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,venue.name,result,sc_be,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,sc_magic_number,af_priced_at,sc_priced_at,Opposition,home_status
2025,1,CD_I1023261,Nick Daicos,40,COL,MID,989000,113,631400,96,98,95,CD_M20250140106,75,21,0,68,0,31,9,Collingwood,MCG,W,0,0,0,0,0,0,0,0,0,10025.2078810554,5218.38770618767,98.6513209236202,120.995226025717,Port Adelaide,home
2025,1,CD_I992468,Rowan Marshall,130,STK,RUC,1098000,136,603500,109,82,64,CD_M20250140107,83,5,0,14,0,35,8,St Kilda,Adelaide Oval,L,0,0,0,0,0,0,0,0,0,10025.2078810554,5218.38770618767,109.523913421775,115.64874708033,Adelaide Crows,away
2025,1,CD_I1004965,Tristan Xerri,100,NTH,RUC,1051000,155,645900,113,122,129,CD_M20250140105,83,29,0,88,0,33,11,North Melbourne,Marvel Stadium,L,0,0,0,0,0,0,0,0,0,10025.2078810554,5218.38770618767,104.835731335414,123.773862036761,Western Bulldogs,away
2025,1,CD_I998659,Luke Ryan,60,FRE,DEF,910000,103,628300,119,66,66,CD_M20250140103,88,0,5,0,56,34,9,Fremantle,GMHBA Stadium,L,0,0,0,0,0,0,0,0,0,10025.2078810554,5218.38770618767,90.7711850763341,120.401172809563,Geelong Cats,away
2025,1,CD_I294305,Lachie Whitfield,1010,GWS,DEF,1136000,103,598100,107,128,111,CD_M20250140108,82,0,4,0,50,26,8,GWS GIANTS,MCG,W,0,0,0,0,0,0,0,0,0,10025.2078810554,5218.38770618767,113.314358512874,114.613944703803,Melbourne,away
2025,1,CD_I1002232,Andrew Brayshaw,60,FRE,MID,1008000,101,591800,115,101,95,CD_M20250140103,85,29,0,85,0,34,9,Fremantle,GMHBA Stadium,L,0,0,0,0,0,0,0,0,0,10025.2078810554,5218.38770618767,100.54654346917,113.406675264522,Geelong Cats,away
2025,1,CD_I1009528,Tom Green,1010,GWS,MID,1015000,100,574200,99,115,104,CD_M20250140108,76,19,0,73,0,26,8,GWS GIANTS,MCG,W,0,0,0,0,0,0,0,0,0,10025.2078810554,5218.38770618767,101.244783354373,110.033986037325,Melbourne,away
2025,1,CD_I1006094,Sam Walsh,30,CAR,MID,1007000,97,583900,106,81,84,CD_M20250140101,81,9,0,38,0,24,4,Carlton,MCG,L,0,0,0,0,0,0,0,0,0,10025.2078810554,5218.38770618767,100.446794914141,111.892797713678,Richmond,away
2025,1,CD_I1013128,Errol Gulden,160,SYD,MID,1113000,122,581900,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,10025.2078810554,5218.38770618767,111.020141747209,111.509537574224,,
2025,1,CD_I297907,Nic Newman,30,CAR,DEF,1052000,115,546800,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,10025.2078810554,5218.38770618767,104.935479890443,104.783322126801,,
2025,1,CD_I1009199,Noah Anderson,1000,GCS,MID,1072000,119,574900,103,136,117,CD_M20250140109,80,23,0,74,0,31,7,Gold Coast SUNS,Optus Stadium,W,0,0,0,0,0,0,0,0,0,10025.2078810554,5218.38770618767,106.930450991022,110.168127086134,West Coast Eagles,away
